Outcome	drug	Outcome2
No-Effect	tariquidar	No-Effect
No-Effect	ORE1001	No-Effect
No-Effect	aminopterin	No-Effect
No-Effect	barasertib	No-Effect
No-Effect	dichloroacetate	No-Effect
No-Effect	lomeguatrib	No-Effect
Weak (50%)	sangivamycin	Weak (50%)
No-Effect	deforolimus	No-Effect
No-Effect	ozanimod	No-Effect
No-Effect	dalargin	No-Effect
No-Effect	CS-917	No-Effect
No-Effect	carnosine	No-Effect
No-Effect	carmoterol	No-Effect
No-Effect	spirobromin	No-Effect
Manual Inspection	hexasodium-phytate	No-Effect
No-Effect	2,3-cis/exo-camphanediol	No-Effect
No-Effect	allicin	No-Effect
Manual Inspection	N-acetylmannosamine	No-Effect
No-Effect	riodipine	No-Effect
No-Effect	eprodisate	No-Effect
No-Effect	elemene	No-Effect
No-Effect	icilin	No-Effect
No-Effect	pimonidazole	No-Effect
No-Effect	titanocene-dichloride	No-Effect
No-Effect	cordycepin	No-Effect
No-Effect	Mps1-IN-5	No-Effect
No-Effect	epothilone-B	No-Effect
No-Effect	adaptavir	No-Effect
No-Effect	ravuconazole	No-Effect
No-Effect	ursolic-acid	No-Effect
No-Effect	lestaurtinib	No-Effect
Low (25%)	Y-26763	Low (25%)
No-Effect	safingol	No-Effect
No-Effect	tipifarnib	No-Effect
Weak (50%)	navitoclax	Weak (50%)
No-Effect	TAK-901	No-Effect
No-Effect	bisoctrizole	No-Effect
No-Effect	defactinib	No-Effect
No-Effect	quinpirol-(-)	No-Effect
No-Effect	dihydrexidine	No-Effect
No-Effect	cyanopindolol	No-Effect
Manual Inspection	ZD-7288	No-Effect
No-Effect	muscimol	No-Effect
No-Effect	dizocilpine-(-)	No-Effect
No-Effect	AZD2461	No-Effect
Manual Inspection	enzastaurin	No-Effect
No-Effect	Y-27152	No-Effect
Very Weak (35%)	azimilide	Very Weak (35%)
No-Effect	ursodeoxycholyltaurine	No-Effect
Strong (80%)	harringtonine	Strong (80%)
Manual Inspection	narlaprevir	No-Effect
No-Effect	galeterone	No-Effect
No-Effect	ZK-93423	No-Effect
No-Effect	doramapimod	No-Effect
No-Effect	AMG-837	No-Effect
No-Effect	CC-401	No-Effect
No-Effect	L-valine	No-Effect
No-Effect	ampalex	No-Effect
No-Effect	butylated-hydroxytoluene	No-Effect
No-Effect	2-deoxyglucose	No-Effect
No-Effect	oxfenicine	No-Effect
Very Weak (35%)	MSX-122	Very Weak (35%)
No-Effect	AT13148	No-Effect
No-Effect	pyridoxal-isonicotinoyl-hydrazone	No-Effect
No-Effect	tiplaxtinin	No-Effect
No-Effect	BMS-191095	No-Effect
No-Effect	ORY-1001	No-Effect
No-Effect	kevetrin	No-Effect
No-Effect	motolimod	No-Effect
No-Effect	centazolone	No-Effect
Low (25%)	LY2979165	Low (25%)
No-Effect	BI-224436	No-Effect
Very Weak (35%)	norfluoxetine	Very Weak (35%)
No-Effect	verbascoside	No-Effect
No-Effect	indisulam	No-Effect
No-Effect	fenretinide	No-Effect
No-Effect	ABT-737	No-Effect
No-Effect	AN2718	No-Effect
No-Effect	BW-A4C	No-Effect
No-Effect	TBA-354	No-Effect
No-Effect	GLPG0492	No-Effect
No-Effect	INS316	No-Effect
No-Effect	RU-42173	No-Effect
Weak (50%)	pyronaridine	Weak (50%)
No-Effect	barasertib-HQPA	No-Effect
No-Effect	aptiganel	No-Effect
No-Effect	zibotentan	No-Effect
Weak (50%)	AZD5438	Weak (50%)
No-Effect	prolylleucylglycinamide	No-Effect
No-Effect	C106	No-Effect
No-Effect	lauric-acid	No-Effect
No-Effect	guanidinoethyldisulfide-bicarbonate	No-Effect
No-Effect	AZD6765	No-Effect
No-Effect	PF-04217903	No-Effect
Cyto	ripazepam	Cyto
No-Effect	rociletinib	No-Effect
No-Effect	lofemizole	No-Effect
No-Effect	BGP-15	No-Effect
No-Effect	begacestat	No-Effect
No-Effect	C11-Acetate	No-Effect
No-Effect	captan	No-Effect
Strong (80%)	gambogic-acid	No-Effect
Weak (50%)	CEP-37440	Weak (50%)
No-Effect	MRK-016	No-Effect
Very Weak (35%)	NE-100	Very Weak (35%)
No-Effect	ONO-4817	No-Effect
Very Weak (35%)	foropafant	Very Weak (35%)
Manual Inspection	solcitinib	No-Effect
No-Effect	tazemetostat	No-Effect
Strong (80%)	JTC-801	Strong (80%)
No-Effect	SAR405838	No-Effect
No-Effect	saracatinib	No-Effect
No-Effect	valspodar	No-Effect
No-Effect	lirimilast	No-Effect
No-Effect	arofylline	No-Effect
Cyto	rigosertib	Cyto
Manual Inspection	7-methoxytacrine	No-Effect
No-Effect	ABT-639	No-Effect
No-Effect	droloxifene	No-Effect
No-Effect	priralfinamide	No-Effect
No-Effect	zaprinast	No-Effect
No-Effect	danirixin	No-Effect
No-Effect	remimazolam	No-Effect
No-Effect	3-amino-benzamide	No-Effect
Weak (50%)	PD-153035	Weak (50%)
No-Effect	BMS-599626	No-Effect
Manual Inspection	obatoclax	No-Effect
No-Effect	imexon	No-Effect
No-Effect	dehydrocorydaline	No-Effect
No-Effect	R112	No-Effect
No-Effect	ranirestat	No-Effect
No-Effect	volinanserin	No-Effect
Cyto	gilteritinib	Cyto
No-Effect	AGN-194310	No-Effect
No-Effect	foretinib	No-Effect
No-Effect	AZD4547	No-Effect
Weak (50%)	tetrindole	Weak (50%)
No-Effect	uridine	No-Effect
No-Effect	oltipraz	No-Effect
Strong (80%)	aloxistatin	Strong (80%)
Manual Inspection	S-nitrosoglutathione	No-Effect
No-Effect	L-368899	No-Effect
No-Effect	SDZ-WAG-994	No-Effect
Weak (50%)	BIBX-1382	Weak (50%)
No-Effect	xaliproden	No-Effect
No-Effect	JTE-907	No-Effect
No-Effect	FK-888	No-Effect
No-Effect	PCA-4248	No-Effect
No-Effect	trequinsin	No-Effect
No-Effect	apafant	No-Effect
No-Effect	SDZ-NKT-343	No-Effect
No-Effect	sophocarpine	No-Effect
No-Effect	polydatin	No-Effect
No-Effect	gavestinel	No-Effect
No-Effect	nefiracetam	No-Effect
No-Effect	desmethylclozapine	No-Effect
No-Effect	PAC-1	No-Effect
No-Effect	indoximod	No-Effect
No-Effect	fmoc-L-leucine	No-Effect
No-Effect	rolipram	No-Effect
No-Effect	RU-24969	No-Effect
No-Effect	JTE-607	No-Effect
No-Effect	erdafitinib	No-Effect
No-Effect	decernotinib	No-Effect
Weak (50%)	VE-822	Weak (50%)
No-Effect	mesulergine	No-Effect
Very Weak (35%)	AT13387	Very Weak (35%)
Cyto	buparlisib	Cyto
No-Effect	PF-04937319	No-Effect
Manual Inspection	A-33903	No-Effect
No-Effect	brivanib	No-Effect
No-Effect	KT-433	No-Effect
No-Effect	altiratinib	No-Effect
Strong (80%)	R-428	Strong (80%)
No-Effect	coenzyme-I	No-Effect
No-Effect	decamethoxine	No-Effect
No-Effect	stobadine	No-Effect
Very Weak (35%)	CBS-1114	Very Weak (35%)
Low (25%)	AZD5991	Low (25%)
Manual Inspection	substance-P	No-Effect
No-Effect	mitoflaxone	No-Effect
No-Effect	castanospermine	No-Effect
Weak (50%)	vatalanib	Weak (50%)
No-Effect	quazinone	No-Effect
No-Effect	L-monomethylarginine	No-Effect
No-Effect	M-14157	No-Effect
No-Effect	agmatine	No-Effect
No-Effect	PK-11195	No-Effect
Low (25%)	ethyl-2-(carbamoyloxy)benzoate	Low (25%)
Manual Inspection	sparfosate	No-Effect
No-Effect	MDMS	No-Effect
No-Effect	glutathione	No-Effect
No-Effect	caricotamide	No-Effect
No-Effect	zacopride	No-Effect
No-Effect	bonaphthone	No-Effect
No-Effect	picolinic-acid	No-Effect
No-Effect	L-lysine	No-Effect
No-Effect	arundic-acid	No-Effect
No-Effect	thiorphan	No-Effect
No-Effect	caracemide	No-Effect
No-Effect	zosuquidar	No-Effect
No-Effect	acrylate	No-Effect
No-Effect	isovaleramide	No-Effect
No-Effect	MDL-11939	No-Effect
No-Effect	triptan	No-Effect
No-Effect	adaprev	No-Effect
No-Effect	aminothiadiazole	No-Effect
No-Effect	CY208-243	No-Effect
No-Effect	acetyl-11-keto-beta-boswellic-acid	No-Effect
No-Effect	ZAMI-633	No-Effect
No-Effect	tenilsetam	No-Effect
No-Effect	CGS-20625	No-Effect
No-Effect	chrysin	No-Effect
Cyto	AR-42	Cyto
No-Effect	MLN0128	No-Effect
No-Effect	DVD-111	No-Effect
No-Effect	torcitabine	No-Effect
No-Effect	aminoguanidine	No-Effect
Manual Inspection	tolimidone	No-Effect
No-Effect	BMS-754807	No-Effect
Low (25%)	ZK-93426	Low (25%)
No-Effect	carboxyamidotriazole	No-Effect
No-Effect	AMG-337	No-Effect
Very Weak (35%)	verubulin	Very Weak (35%)
Low (25%)	VP-20629	Low (25%)
No-Effect	salvianolic-acid-B	No-Effect
Very Weak (35%)	LY3023414	Very Weak (35%)
No-Effect	atizoram	No-Effect
No-Effect	JNJ-37822681	No-Effect
Very Weak (35%)	1,12-Besm	Very Weak (35%)
No-Effect	FG-2216	No-Effect
No-Effect	cytochlor	No-Effect
No-Effect	gemcitabine-elaidate	No-Effect
No-Effect	linsitinib	No-Effect
No-Effect	ENMD-2076	No-Effect
No-Effect	ACT-462206	No-Effect
No-Effect	sarcosine	No-Effect
No-Effect	ciglitazone	No-Effect
Strong (80%)	AGN-195183	Strong (80%)
No-Effect	Q-203	No-Effect
No-Effect	solithromycin	No-Effect
No-Effect	brivanib-alaninate	No-Effect
No-Effect	trovirdine	No-Effect
No-Effect	SAR407899	No-Effect
No-Effect	TGR-1202	No-Effect
No-Effect	presatovir	No-Effect
No-Effect	K-MAP	No-Effect
Manual Inspection	pelanserin	No-Effect
No-Effect	meclinertant	No-Effect
No-Effect	NVP-BGJ398	No-Effect
No-Effect	zatebradine	No-Effect
No-Effect	basimglurant	No-Effect
Very Weak (35%)	quinelorane	Very Weak (35%)
Manual Inspection	leteprinim	No-Effect
No-Effect	tecastemizole	No-Effect
Low (25%)	ciaftalan-zinc	Low (25%)
No-Effect	schisandrol-B	No-Effect
Weak (50%)	retaspimycin	Weak (50%)
No-Effect	taurocholate	No-Effect
No-Effect	zoliflodacin	No-Effect
No-Effect	emoxipin	No-Effect
No-Effect	vecabrutinib	No-Effect
No-Effect	diquafosol	No-Effect
No-Effect	pradefovir	No-Effect
Manual Inspection	fucoxanthin	No-Effect
No-Effect	beclabuvir	No-Effect
No-Effect	asivatrep	No-Effect
No-Effect	milademetan	No-Effect
Strong (80%)	BAY-2402234	Strong (80%)
No-Effect	AZD7594	No-Effect
Weak (50%)	LXH254	Weak (50%)
No-Effect	ceftobiprole	No-Effect
Manual Inspection	PSI-697	No-Effect
No-Effect	MK-0557	No-Effect
Manual Inspection	evobrutinib	No-Effect
No-Effect	BMS-986205	No-Effect
Low (25%)	sitravatinib	Low (25%)
Cyto	avitinib	Cyto
No-Effect	avapritinib	No-Effect
No-Effect	squalamine	No-Effect
No-Effect	vaniprevir	No-Effect
Strong (80%)	firsocostat	Strong (80%)
No-Effect	HPPH	No-Effect
No-Effect	IPI549	No-Effect
No-Effect	fisogatinib	No-Effect
No-Effect	cefiderocol	No-Effect
No-Effect	PRN1371	No-Effect
No-Effect	avoralstat	No-Effect
No-Effect	glesatinib	No-Effect
Strong (80%)	trabectedin	Strong (80%)
No-Effect	retagliptin	No-Effect
No-Effect	JNJ-39758979	No-Effect
No-Effect	PBI-4050	No-Effect
No-Effect	PF-06840003	No-Effect
No-Effect	larazotide-acetate	No-Effect
Weak (50%)	MK-4074	Weak (50%)
No-Effect	fostemsavir	No-Effect
Strong (80%)	AZ7550	Strong (80%)
No-Effect	sapacitabine	No-Effect
No-Effect	bevenopran	No-Effect
No-Effect	radiprodil	No-Effect
No-Effect	ZK-811752	No-Effect
Manual Inspection	CP-99994	No-Effect
No-Effect	NVP-DPP728	No-Effect
Very Weak (35%)	SB-271046	Very Weak (35%)
Very Weak (35%)	bretazenil	Very Weak (35%)
No-Effect	AEE788	No-Effect
No-Effect	mubritinib	No-Effect
No-Effect	camphor-(+)	No-Effect
No-Effect	dianhydrogalactitol	No-Effect
No-Effect	SB-243213	No-Effect
No-Effect	linopirdine	No-Effect
No-Effect	PF-04457845	No-Effect
Manual Inspection	RAF265	No-Effect
Cyto	cinaciguat	Cyto
No-Effect	rucaparib	No-Effect
No-Effect	AMG-517	No-Effect
No-Effect	triciribine	No-Effect
No-Effect	ZD-2079	No-Effect
No-Effect	eliprodil	No-Effect
No-Effect	GR-79236	No-Effect
Weak (50%)	oglemilast	Weak (50%)
Very Weak (35%)	tandutinib	Very Weak (35%)
Strong (80%)	GSK2126458	Strong (80%)
Very Weak (35%)	MK-0893	Very Weak (35%)
No-Effect	EPZ-5676	No-Effect
No-Effect	preladenant	No-Effect
No-Effect	SB-756050	No-Effect
No-Effect	hydroxypropyl-beta-cyclodextrin	No-Effect
No-Effect	tracazolate	No-Effect
No-Effect	PF-562271	No-Effect
Strong (80%)	dolastatin-10	Strong (80%)
No-Effect	acifran	No-Effect
No-Effect	levcromakalim	No-Effect
No-Effect	talopram	No-Effect
No-Effect	ganaxolone	No-Effect
No-Effect	apocynin	No-Effect
No-Effect	CL-218872	No-Effect
No-Effect	darapladib	No-Effect
No-Effect	icariin	No-Effect
Cyto	CUDC-907	Cyto
Manual Inspection	roquinimex	No-Effect
No-Effect	liarozole	No-Effect
No-Effect	pevonedistat	No-Effect
No-Effect	alagebrium	No-Effect
No-Effect	L-ergothioneine	No-Effect
No-Effect	cabaletta	No-Effect
Cyto	alaproclate	Cyto
Low (25%)	SCH-28080	Low (25%)
Low (25%)	YM-976	Low (25%)
Very Weak (35%)	kifunensine	Very Weak (35%)
No-Effect	m-THP	No-Effect
No-Effect	2-fluoro-2-deoxy-D-galactose	No-Effect
Manual Inspection	aminolevulinic-acid-benzyl-ester	No-Effect
No-Effect	omeprazole-sulfide	No-Effect
No-Effect	varespladib	No-Effect
No-Effect	etilevodopa	No-Effect
No-Effect	LY2606368	No-Effect
Low (25%)	pikamilone	Low (25%)
No-Effect	SAR-245409	No-Effect
Low (25%)	alfadolone-acetate	Low (25%)
No-Effect	SPP301	No-Effect
No-Effect	LY3009120	No-Effect
No-Effect	salazodine	No-Effect
Strong (80%)	endoxifen	Strong (80%)
No-Effect	AMG319	No-Effect
No-Effect	rucinol	No-Effect
Low (25%)	RTA-408	Low (25%)
Manual Inspection	(R)-baclofen	No-Effect
No-Effect	vercirnon	No-Effect
Low (25%)	INCB-3284	Low (25%)
No-Effect	9-aminocamptothecin	No-Effect
No-Effect	PKI-179	No-Effect
Strong (80%)	GSK369796	Strong (80%)
Manual Inspection	BMS-214662	No-Effect
No-Effect	pyrotinib	No-Effect
No-Effect	PCI-27483	No-Effect
No-Effect	lazertinib	No-Effect
No-Effect	PF-04418948	No-Effect
No-Effect	oleuropein	No-Effect
No-Effect	ocinaplon	No-Effect
No-Effect	troventol	No-Effect
No-Effect	ponesimod	No-Effect
Low (25%)	GDC-0810	Low (25%)
No-Effect	benzofenac	No-Effect
Strong (80%)	PU-H71	Strong (80%)
Weak (50%)	SNX-2112	Weak (50%)
No-Effect	NIM811	No-Effect
No-Effect	gly-gln	No-Effect
Very Weak (35%)	GSK2636771	Very Weak (35%)
Manual Inspection	phenylacetylglutamine	No-Effect
Very Weak (35%)	nebracetam	Very Weak (35%)
No-Effect	edelfosine	No-Effect
No-Effect	donitriptan	No-Effect
No-Effect	metenkephalin	No-Effect
No-Effect	betulinic-acid	No-Effect
No-Effect	evatanepag	No-Effect
Strong (80%)	serdemetan	Strong (80%)
Weak (50%)	NVP-HSP990	Weak (50%)
No-Effect	FK-962	No-Effect
No-Effect	NPC-01	No-Effect
No-Effect	ASA-404	No-Effect
No-Effect	meisoindigo	No-Effect
No-Effect	delgocitinib	No-Effect
No-Effect	clorgiline	No-Effect
No-Effect	tapinarof	No-Effect
No-Effect	bindarit	No-Effect
No-Effect	LY2811376	No-Effect
No-Effect	delcasertib	No-Effect
No-Effect	danegaptide	No-Effect
Low (25%)	PFK-158	Low (25%)
No-Effect	vadadustat	No-Effect
No-Effect	tanshinone-I	No-Effect
No-Effect	delpazolid	No-Effect
Low (25%)	THK5351	Low (25%)
Very Weak (35%)	NVP-AUY922	Very Weak (35%)
No-Effect	voclosporin	No-Effect
No-Effect	D-limonene	No-Effect
No-Effect	piromidic-acid	No-Effect
No-Effect	nicaraven	No-Effect
No-Effect	PF-06651600	No-Effect
No-Effect	elagolix	No-Effect
Manual Inspection	GSK2838232	No-Effect
Weak (50%)	XL019	Weak (50%)
No-Effect	PRT062070	No-Effect
Cyto	7-hydroxystaurosporine	Cyto
Very Weak (35%)	KW-3902	Very Weak (35%)
No-Effect	MLN1117	No-Effect
No-Effect	PKI-166	No-Effect
No-Effect	PGL5001	No-Effect
No-Effect	molidustat	No-Effect
Manual Inspection	AMG-232	No-Effect
No-Effect	quiflapon	No-Effect
No-Effect	CG-400549	No-Effect
No-Effect	JNJ-38877605	No-Effect
No-Effect	tivantinib	No-Effect
No-Effect	sutezolid	No-Effect
Low (25%)	D-7193	Low (25%)
Cyto	CYT-997	Cyto
No-Effect	AP1903	No-Effect
No-Effect	CGM097	No-Effect
No-Effect	taprenepag	No-Effect
No-Effect	fagomine	No-Effect
No-Effect	khellin	No-Effect
No-Effect	cinflumide	No-Effect
No-Effect	LTA	No-Effect
No-Effect	pozanicline	No-Effect
No-Effect	pyridoxamine	No-Effect
Low (25%)	cipemastat	Low (25%)
No-Effect	verinurad	No-Effect
No-Effect	setipiprant	No-Effect
Low (25%)	SQ-109	Low (25%)
Manual Inspection	apabetalone	No-Effect
No-Effect	INCB-003284	No-Effect
Low (25%)	benzo[d]thiazole-2(3H)-thione	Low (25%)
Strong (80%)	fosbretabulin	Strong (80%)
Very Weak (35%)	genistein	Very Weak (35%)
No-Effect	GSK2816126	No-Effect
No-Effect	plovamer-acetate	No-Effect
Low (25%)	SNAP	Low (25%)
Low (25%)	HQK-1001	Low (25%)
No-Effect	paquinimod	No-Effect
No-Effect	GSK3179106	No-Effect
No-Effect	BAY-1436032	No-Effect
No-Effect	estradiol-3-O-sulfamate	No-Effect
No-Effect	PF-06873600	No-Effect
No-Effect	PRX-07034	No-Effect
No-Effect	DpC	No-Effect
Weak (50%)	BMS-986158	Weak (50%)
No-Effect	zanubrutinib	No-Effect
Low (25%)	CFI-402257	Low (25%)
No-Effect	AZD3839	No-Effect
No-Effect	triciribine-phosphate	No-Effect
Cyto	GSK3117391	Cyto
No-Effect	LY2828360	No-Effect
No-Effect	ASC-J9	No-Effect
No-Effect	efletirizine	No-Effect
Weak (50%)	olumacostat-glasaretil	Weak (50%)
No-Effect	EF5	No-Effect
No-Effect	CJ-13610	No-Effect
No-Effect	isoquercitrin	No-Effect
No-Effect	PRLX-93936	No-Effect
No-Effect	YM-511	No-Effect
No-Effect	BLZ945	No-Effect
No-Effect	doravirine	No-Effect
No-Effect	bropirimine	No-Effect
No-Effect	IMREG-1	No-Effect
No-Effect	bromindione	No-Effect
No-Effect	LY3295668	No-Effect
No-Effect	selonsertib	No-Effect
No-Effect	tetomilast	No-Effect
No-Effect	BTS-71321	No-Effect
No-Effect	AMG-176	No-Effect
No-Effect	talsaclidine	No-Effect
No-Effect	AZD7986	No-Effect
Cyto	CYC065	Cyto
Weak (50%)	LXS196	Weak (50%)
No-Effect	DSM265	No-Effect
Weak (50%)	AZD4573	Weak (50%)
No-Effect	lucanthone	No-Effect
Strong (80%)	COH29	Strong (80%)
No-Effect	iclaprim	No-Effect
No-Effect	MK-8998	No-Effect
No-Effect	MSDC-0160	No-Effect
No-Effect	lanabecestat	No-Effect
No-Effect	CM-4620	No-Effect
Low (25%)	ruboxistaurin	Low (25%)
No-Effect	peposertib	No-Effect
Weak (50%)	AZD5153	Weak (50%)
No-Effect	bisantrene	No-Effect
No-Effect	pagoclone	No-Effect
Strong (80%)	MRX-2843	Strong (80%)
No-Effect	LY3214996	No-Effect
No-Effect	cadazolid	No-Effect
No-Effect	selitrectinib	No-Effect
No-Effect	pamiparib	No-Effect
No-Effect	zuranolone	No-Effect
No-Effect	mavacamten	No-Effect
Weak (50%)	BAY1125976	Weak (50%)
Very Weak (35%)	AZD0156	Very Weak (35%)
No-Effect	rogaratinib	No-Effect
No-Effect	E7046	No-Effect
No-Effect	Neu2000	No-Effect
No-Effect	NGP555	No-Effect
Cyto	CT7001	Cyto
No-Effect	IDH-305	No-Effect
Cyto	BAY-1251152	Cyto
Low (25%)	dilmapimod	Low (25%)
No-Effect	tucidinostat	No-Effect
No-Effect	CPI-444	No-Effect
Manual Inspection	asimadoline	No-Effect
No-Effect	LY3200882	No-Effect
Strong (80%)	trimetrexate	Strong (80%)
No-Effect	sultiame	No-Effect
No-Effect	repotrectinib	No-Effect
Low (25%)	GSK2110183	Low (25%)
Manual Inspection	cenicriviroc	No-Effect
No-Effect	batefenterol	No-Effect
No-Effect	padsevonil	No-Effect
Low (25%)	talaporfin	Low (25%)
No-Effect	AZD4635	No-Effect
No-Effect	PF-03049423	No-Effect
No-Effect	CI-844	No-Effect
No-Effect	BMS-387032	No-Effect
No-Effect	rhodamine-123	No-Effect
No-Effect	boronophenylalanine	No-Effect
No-Effect	broxaterol	No-Effect
Manual Inspection	preclamol	No-Effect
No-Effect	amonafide	No-Effect
No-Effect	dexloxiglumide	No-Effect
Low (25%)	SLV-320	Low (25%)
No-Effect	tiprenolol	No-Effect
No-Effect	JNJ-26990990	No-Effect
No-Effect	estetrol	No-Effect
No-Effect	misonidazole	No-Effect
No-Effect	LY215490	No-Effect
No-Effect	picartamide	No-Effect
No-Effect	BAY-85-8050	No-Effect
No-Effect	CDBA	No-Effect
Manual Inspection	ABT-202	No-Effect
No-Effect	xibenolol	No-Effect
Cyto	dacinostat	Cyto
No-Effect	pivanex	No-Effect
Cyto	trichostatin-a	Cyto
No-Effect	PCI-24781	No-Effect
No-Effect	darusentan	No-Effect
Manual Inspection	cedrol	No-Effect
No-Effect	beta-hydroxybutyrate	No-Effect
No-Effect	tenapanor	No-Effect
Weak (50%)	taselisib	Weak (50%)
Strong (80%)	atiprimod	Strong (80%)
No-Effect	colforsin	No-Effect
No-Effect	tucatinib	No-Effect
Cyto	dinaciclib	Cyto
Strong (80%)	pacritinib	Strong (80%)
No-Effect	AT-9283	No-Effect
No-Effect	amuvatinib	No-Effect
No-Effect	iniparib	No-Effect
No-Effect	alpha-linolenic-acid	No-Effect
No-Effect	isosteviol	No-Effect
No-Effect	methoxyamine	No-Effect
No-Effect	butofilolol	No-Effect
No-Effect	meglitinide	No-Effect
No-Effect	DPI-201106	No-Effect
Strong (80%)	STA-5326	Strong (80%)
No-Effect	cis-urocanic-acid	No-Effect
No-Effect	spiradoline	No-Effect
Manual Inspection	LY2452473	No-Effect
No-Effect	lazabemide	No-Effect
No-Effect	docebenone	No-Effect
No-Effect	AGM-1470	No-Effect
No-Effect	AD-5467	No-Effect
No-Effect	BTS-72664	No-Effect
No-Effect	semustine	No-Effect
No-Effect	linoleic-acid	No-Effect
No-Effect	T-62	No-Effect
No-Effect	icaritin	No-Effect
No-Effect	pyrazoloacridine	No-Effect
No-Effect	napirimus	No-Effect
Low (25%)	CI-923	Low (25%)
No-Effect	daltroban	No-Effect
No-Effect	sumanirole	No-Effect
No-Effect	ezutromid	No-Effect
No-Effect	xamoterol	No-Effect
Strong (80%)	gossypol	No-Effect
No-Effect	glucaric-acid	No-Effect
No-Effect	ORG-12962	No-Effect
No-Effect	2-hydroxyflutamide	No-Effect
No-Effect	LY2784544	No-Effect
No-Effect	elinogrel	No-Effect
No-Effect	PD-184352	No-Effect
No-Effect	minerval	No-Effect
No-Effect	tifenazoxide	No-Effect
No-Effect	daidzein	No-Effect
No-Effect	acadesine	No-Effect
No-Effect	amibegron	No-Effect
No-Effect	tecalcet	No-Effect
No-Effect	GW-803430	No-Effect
No-Effect	16,16-dimethylprostaglandin-e2	No-Effect
No-Effect	benfluralin	No-Effect
Manual Inspection	veliflapon	No-Effect
No-Effect	SGI-1776	No-Effect
No-Effect	TTNPB	No-Effect
No-Effect	zaltidine	No-Effect
No-Effect	camphor-(1R)	No-Effect
No-Effect	ASTX660	No-Effect
Strong (80%)	oleandrin	Strong (80%)
No-Effect	VLX600	No-Effect
No-Effect	cilengitide	No-Effect
No-Effect	GS-9620	No-Effect
No-Effect	GS-6201	No-Effect
Manual Inspection	ASP-2535	No-Effect
No-Effect	GSK2881078	No-Effect
No-Effect	CYC116	No-Effect
No-Effect	acecainide	No-Effect
No-Effect	elafibranor	No-Effect
No-Effect	farnesyl-thiosalicylic-acid-amide	No-Effect
No-Effect	1-octacosanol	No-Effect
No-Effect	XL228	No-Effect
Weak (50%)	PF-04691502	Weak (50%)
No-Effect	CL-225385	No-Effect
No-Effect	BMS-707035	No-Effect
No-Effect	buthionine-sulfoximine	No-Effect
No-Effect	PNU-142633	No-Effect
No-Effect	AMG-319	No-Effect
No-Effect	lixivaptan	No-Effect
Strong (80%)	hypoestoxide	Strong (80%)
No-Effect	vipadenant	No-Effect
No-Effect	MK-571	No-Effect
No-Effect	KP-1212	No-Effect
No-Effect	BAY-W-9798	No-Effect
No-Effect	JNJ-42165279	No-Effect
No-Effect	HA-1004	No-Effect
No-Effect	tirapazamine	No-Effect
Manual Inspection	huperzine-A	No-Effect
No-Effect	resatorvid	No-Effect
No-Effect	S-methylcysteine	No-Effect
No-Effect	1-octanol	No-Effect
Strong (80%)	latrunculin-B	Strong (80%)
No-Effect	BRL-37344	No-Effect
No-Effect	2-methoxyestradiol	No-Effect
No-Effect	OCO-1112	No-Effect
No-Effect	mepazine	No-Effect
No-Effect	carebastine	No-Effect
No-Effect	radafaxine	No-Effect
No-Effect	F351	No-Effect
No-Effect	GSK2879552	No-Effect
No-Effect	CTS-1027	No-Effect
Manual Inspection	perifosine	No-Effect
No-Effect	salvinorin-A	No-Effect
No-Effect	oxiperomide	No-Effect
No-Effect	esaprazole	No-Effect
No-Effect	epicatechin-gallate-(-)	No-Effect
Manual Inspection	BIO-1211	No-Effect
No-Effect	lucitanib	No-Effect
No-Effect	AZD8835	No-Effect
No-Effect	enciprazine	No-Effect
No-Effect	litronesib	No-Effect
No-Effect	SP-420	No-Effect
No-Effect	ITI214	No-Effect
No-Effect	xenalipin	No-Effect
No-Effect	SIB-1553A	No-Effect
No-Effect	carboxypyridine-disulfide	No-Effect
Weak (50%)	BIIB021	Weak (50%)
No-Effect	AKBA	No-Effect
No-Effect	BMS-863233	No-Effect
No-Effect	nitecapone	No-Effect
No-Effect	diadenosine-tetraphosphate	No-Effect
No-Effect	opicapone	No-Effect
Low (25%)	TMC647055	Low (25%)
No-Effect	diiodothyropropionic-acid	No-Effect
Weak (50%)	lometrexol	Weak (50%)
